"","Coeff","SE","Coeff1","SE1","Coeff2","SE2","Coeff3","SE3","Coeff4","SE4","Coeff5","SE5","Coeff6","SE6","Coeff7","SE7"
"zcp3m",-0.213418635358897,0.125531916113387,0.971689386688449,0.0223630140200484,0.164088014682206,0.0444556032425863,4.90262692857135,2.32652539479504,-1.34984244906566,4.80424567128957,15.8631519062374,8.41317405372759,0.546996259764538,0.737325596430972,1.82769292569267,1.1326456585133
"zcp10y",0.332815149085106,0.144791489663642,-0.0121314681955118,0.0257940308216679,0.814596460404042,0.0512761472674079,-3.6812012907903,2.68346957556513,6.66499684524285,5.54133091402675,-16.6863204439778,9.70395451415257,-0.743112560051832,0.850448832294922,-0.738137855356314,1.306420368897
"home_index",0.00341925546098628,0.00404228823183263,-0.000813540729706201,0.000720117649760862,-0.0000342730605149508,0.00143152727521669,0.58685683991777,0.0749170929243616,0.132200492631451,0.154702854390794,0.253602467506845,0.27091496348247,0.0644607104158247,0.0237428271133037,-0.0147956430655769,0.0364726386563647
"GDP",0.00499596127516265,0.0023767265659398,0.000469026655203533,0.000423404431012787,0.00146802585338469,0.000841688842987932,-0.0185743687757892,0.0440486760924483,-0.0955266054265215,0.0909599619744638,-0.078826512954106,0.159288688458389,0.0280999076834944,0.0139599664136571,0.0240677608289934,0.0214446581374048
"CPI",0.00443998161073978,0.00138996476216967,0.000146584538232347,0.000247616721118932,-0.000249057584940207,0.000492239136478865,0.029384329557393,0.0257606863432012,-0.0841464990744863,0.0531954932151839,0.324302002511927,0.0931557155721172,0.00756429716081768,0.00816411179734631,0.0183618874502162,0.0125413329303118
"ASX200",0.0196339044996945,0.0169215816734849,-0.00107481581314403,0.0030145128021764,0.00321157461877468,0.00599257260148875,-0.280271260020478,0.313613387753131,0.962419951124744,0.647607700282236,-1.84432260088259,1.13408777855988,0.054993139694089,0.0993907819322066,-0.125196887173061,0.152679546453662
"forex",-0.00628619266695111,0.0111879291523203,-0.0000253207771047971,0.00199308529842449,0.00811270626944967,0.00396206920837941,0.0793433108869523,0.207349669262837,0.202164835835026,0.428174458455489,-0.260997453261784,0.749817243084415,-0.0185264302300028,0.065713539556036,-0.0756178070867174,0.100946116131009
