"","Coeff","SE","Coeff1","SE1","Coeff2","SE2","Coeff3","SE3","Coeff4","SE4","Coeff5","SE5","Coeff6","SE6","Coeff7","SE7"
"zcp3m",-0.24555424241058,0.166191587135274,0.98037456473359,0.0307697505213764,0.144656516997354,0.0487191604322926,8.38754670171704,2.74844192120283,2.56055736467147,9.8632725271967,4.59684286848203,11.2969128085782,1.00773099659304,0.838085265608299,1.43648822717643,1.2058987536491
"zcp10y",0.323694857909019,0.194731559392994,0.00714970565146289,0.0360538195972813,0.8398080775771,0.0570856698996176,-7.33955453831674,3.22043004969477,-3.28413007278299,11.5570858492116,-15.5117658053109,13.2369242358249,-1.16084037747198,0.982009098591466,-0.533758602325472,1.41298695569359
"home_index",0.00187870911260546,0.00524599174319284,-0.00123531211606837,0.000971275742398775,0.00149248282974782,0.00153786553079285,0.562719191506639,0.0867571209458339,0.127383885161229,0.31134335456113,0.623827911295266,0.35659754106044,0.0448442832444589,0.0264549395024072,-0.000348313955675662,0.0380653137370935
"GDP",0.00591791685538385,0.00169704662934949,0.00081983555457353,0.000314201833608601,0.00109805641840356,0.000497490206463109,0.0321510725411201,0.0280654043850221,-0.21698081538906,0.100717693868644,-0.224396307378619,0.115357149746984,-0.00192606711960222,0.00855801307168671,0.000424686985466737,0.0123138989794424
"CPI",0.00333054163819842,0.00158917999072948,0.00070644957239569,0.000294230729071187,-0.000588210501871165,0.000465869038612158,0.0559500147546005,0.0262815283381488,-0.11552343646257,0.0943159374883055,0.128695620447556,0.108024889236993,-0.00158057730075678,0.00801405388556652,0.00873884488917735,0.0115312104732768
"ASX200",0.0172407847852881,0.0218213514896415,-0.00163350408209048,0.00404014157966376,0.00488405341445224,0.00639694188134776,-0.0754351544601021,0.360876974853216,0.787858737635942,1.29507119081121,-1.67748848662922,1.48331157667545,0.10529825594371,0.110042592855451,-0.109128334225257,0.158337380476899
"forex",-0.0155662883634201,0.0153431456354134,-0.000531814871744649,0.00284072600516498,0.00955454398160786,0.00449785206720055,0.199153426030858,0.25374175308384,0.766546630760964,0.910597398070278,0.28176005060029,1.04295398726469,0.0134026302722723,0.077373737785268,-0.0760681011219833,0.111331027747761
